iter	Logloss
0	0.6818485839
1	0.6710752958
2	0.6616427308
3	0.6513753851
4	0.6394435806
5	0.6307241961
6	0.6197020508
7	0.6096893978
8	0.5989696911
9	0.5911182516
10	0.5820042847
11	0.5728100469
12	0.5646627429
13	0.5561318023
14	0.5474587737
15	0.5396396362
16	0.5315947464
17	0.5242860385
18	0.5160186514
19	0.508348998
20	0.5004613051
21	0.4930916156
22	0.4848671368
23	0.4788653728
24	0.4714099543
25	0.4652965425
26	0.4600843811
27	0.4537328365
28	0.4470345926
29	0.4405862062
30	0.4338058331
31	0.4278342929
32	0.4229504819
33	0.4168290822
34	0.4105231022
35	0.4042221993
36	0.398247206
37	0.3931519665
38	0.3871941028
39	0.38233956
40	0.3779681719
41	0.373489718
42	0.3685005127
43	0.3635734731
44	0.3587626082
45	0.3537965636
46	0.3495221068
47	0.3448879788
48	0.3408302386
49	0.3373170981
50	0.3332517981
51	0.3293832668
52	0.325698647
53	0.3211918591
54	0.3182102653
55	0.31421185
56	0.3103216499
57	0.3069638554
58	0.3030881749
59	0.2987931376
60	0.2949513666
61	0.2919285541
62	0.289114255
63	0.2855079944
64	0.2821570658
65	0.2785315343
66	0.2753283328
67	0.27245616
68	0.2695282366
69	0.2664569572
70	0.2636189229
71	0.2604158236
72	0.2574896725
73	0.2546287457
74	0.2518848125
75	0.2488941763
76	0.2459255534
77	0.2433734409
78	0.2403169911
79	0.2379259526
80	0.2351926076
81	0.232925857
82	0.2305033937
83	0.2282320896
84	0.2259814392
85	0.2235863433
86	0.2215115604
87	0.2190082273
88	0.2171532491
89	0.2153564801
90	0.2131669225
91	0.2115265732
92	0.2092984188
93	0.2070858403
94	0.2049562059
95	0.2029574373
96	0.2014791708
97	0.1996445041
98	0.1978523394
99	0.1963717378
100	0.1948983629
101	0.1929938432
102	0.1910437159
103	0.189558881
104	0.1876140498
105	0.1858681446
106	0.1840361382
107	0.1826217478
108	0.1807679935
109	0.1790253493
110	0.1775548918
111	0.1761154629
112	0.1747098164
113	0.172764962
114	0.1713290115
115	0.1700601024
116	0.1688156535
117	0.1675784151
118	0.1660020173
119	0.1647446625
120	0.1631626788
121	0.1618464618
122	0.1607364816
123	0.1591814801
124	0.157980028
125	0.1566233079
126	0.1556868513
127	0.1544098937
128	0.1532618224
129	0.1518554608
130	0.1508483093
131	0.1498452842
132	0.1486674263
133	0.1472974747
134	0.1460987343
135	0.1450047522
136	0.1436037183
137	0.1422861565
138	0.1411816235
139	0.13966626
140	0.1381080313
141	0.137175526
142	0.1363084592
143	0.1352931306
144	0.1346382416
145	0.1338615324
146	0.1329149893
147	0.1318948799
148	0.13134943
149	0.1304956795
150	0.1296092572
151	0.1289600322
152	0.1281380699
153	0.127201523
154	0.1262325158
155	0.1250209332
156	0.124102536
157	0.1232588086
158	0.1224734624
159	0.1215255055
160	0.1208401316
161	0.1199649968
162	0.1191843014
163	0.1183143572
164	0.1175488831
165	0.1166960098
166	0.1160933291
167	0.1152183896
168	0.1145945718
169	0.1137587748
170	0.113235962
171	0.1123449371
172	0.111764522
173	0.1109516876
174	0.1103303013
175	0.1096412766
176	0.10889283
177	0.1079884285
178	0.1073445731
179	0.1065802648
180	0.1060927256
181	0.1055560227
182	0.1049030272
183	0.1042036585
184	0.1035370148
185	0.1029392517
186	0.1024569035
187	0.1018087997
188	0.1012270325
189	0.1006945087
190	0.1001099197
191	0.0995784392
192	0.09896204235
193	0.09845000644
194	0.09793258432
195	0.09734702223
196	0.09679743805
197	0.09631513664
198	0.09570626158
199	0.09523542306
200	0.0947924056
201	0.09434242812
202	0.09373132956
203	0.09327320653
204	0.09291244575
205	0.09232899726
206	0.09169584606
207	0.09128218893
208	0.09086339013
209	0.09040008195
210	0.08994360951
211	0.0895516709
212	0.08918623381
213	0.08875793608
214	0.0883760021
215	0.0879266412
216	0.08747730516
217	0.08700315971
218	0.08654839821
219	0.08618884185
220	0.08579722541
221	0.08528475688
222	0.08477610904
223	0.08435898533
224	0.08392740058
225	0.08357217844
226	0.08311472154
227	0.0826399003
228	0.08226141715
229	0.08184306236
230	0.0814973436
231	0.08115682257
232	0.08074668312
233	0.08034326788
234	0.07990376449
235	0.07948997242
236	0.07911386202
237	0.07866853283
238	0.07840093746
239	0.0781159003
240	0.07784738777
241	0.07750606679
242	0.07684631923
243	0.07651368611
244	0.07609399975
245	0.0757383309
246	0.07536100868
247	0.07506160028
248	0.07464274193
249	0.07435507936
250	0.07405790718
251	0.07376304568
252	0.07342504607
253	0.07309303929
254	0.07281377035
255	0.07246545337
256	0.07213034185
257	0.07176594897
258	0.0714853493
259	0.07117801081
260	0.07080394719
261	0.0704895096
262	0.07020782934
263	0.0699861065
264	0.06957146014
265	0.06922182433
266	0.06900699055
267	0.06866123035
268	0.06842245549
269	0.06811853717
270	0.0678155656
271	0.06753124621
272	0.06727954049
273	0.06700488429
274	0.06669057876
275	0.06633626022
276	0.06602599762
277	0.06571123451
278	0.06546567511
279	0.06515025147
280	0.0648763223
281	0.06460374562
282	0.06430036346
283	0.06404722946
284	0.06373631071
285	0.06347918735
286	0.06323198916
287	0.06301363258
288	0.06276513681
289	0.06261179403
290	0.06234380307
291	0.06212064372
292	0.0619240757
293	0.06170634314
294	0.06146504446
295	0.0611468638
296	0.0609219312
297	0.06065944761
298	0.0604205657
299	0.06017316017
300	0.05992110492
301	0.05972656298
302	0.05953412262
303	0.05940437467
304	0.05910352924
305	0.05889077297
306	0.05857431219
307	0.0582258266
308	0.05788229308
309	0.05767758333
310	0.05752941808
311	0.05730334489
312	0.05709081391
313	0.05685986019
314	0.0566948027
315	0.05656581158
316	0.05636145057
317	0.05607399476
318	0.05591765114
319	0.05573404702
320	0.05549190366
321	0.05532178379
322	0.05507307065
323	0.05489692554
324	0.0546482714
325	0.05448039766
326	0.05422420598
327	0.05402969368
328	0.05376762002
329	0.05356030817
330	0.05332252431
331	0.05316949104
332	0.05297984791
333	0.05278195681
334	0.05261418038
335	0.05241168549
