active_date,price0,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12
2018-06-08,9.239999999999998,7.329000000000001,17.556,6.389,5.269,4.561999999999999,17.172,4.286,4.191,15.350999999999999,4.054,3.9890000000000008,11.778
2018-06-09,9.239999999999998,7.385,17.556,6.456,5.338,4.628,17.172,4.351000000000001,4.257,15.350999999999999,4.121,4.056,11.778
2018-06-10,9.239999999999998,7.385,17.556,6.456,5.338,4.628,17.172,4.351000000000001,4.257,15.350999999999999,4.121,4.056,11.778
2018-06-12,9.205499999999999,7.350999999999999,17.523999999999997,6.422499999999999,5.3035,4.620499999999999,17.139499999999998,4.4030000000000005,4.324,15.316999999999998,4.188999999999999,4.069000000000001,11.745000000000001
2018-06-14,9.139,7.284000000000001,17.461000000000002,6.3555,5.237,4.606999999999998,17.0735,4.4030000000000005,4.324,15.251499999999998,4.188999999999999,4.069000000000001,11.678500000000003
2018-06-15,9.074000000000002,7.218000000000001,17.398000000000003,6.2895,5.1715,4.593000000000001,17.0075,4.4030000000000005,4.324,15.1865,4.188999999999999,4.069000000000001,11.612499999999999
2018-06-16,9.074000000000002,7.218000000000001,17.398000000000003,6.2895,5.1715,4.593000000000001,17.0075,4.4030000000000005,4.324,15.1865,4.188999999999999,4.069000000000001,11.612499999999999
2018-06-18,9.139,7.284000000000001,17.461000000000002,6.3555,5.237,4.6575,17.0735,4.468,4.39,15.251499999999998,4.254,4.1339999999999995,11.678500000000003
2018-06-19,9.205499999999999,7.350999999999999,17.523999999999997,6.422499999999999,5.3035,4.725,17.139499999999998,4.534999999999999,4.455,15.316999999999998,4.319,4.2010000000000005,11.745000000000001
2018-06-20,9.205499999999999,7.350999999999999,17.523999999999997,6.422499999999999,5.3035,4.725,17.139499999999998,4.534999999999999,4.455,15.316999999999998,4.319,4.2010000000000005,11.745000000000001
2018-06-21,9.205499999999999,7.351000000000001,17.524,6.422499999999999,5.3035000000000005,4.725,17.139499999999998,4.534999999999999,4.455,15.316999999999997,4.319,4.2010000000000005,11.745
2018-06-22,9.272,7.417,17.588,6.488499999999999,5.369999999999999,4.7894999999999985,17.205499999999997,4.6,4.521,15.383499999999998,4.385,4.266,11.810999999999998
2018-06-23,9.239999999999998,7.385,17.556,6.456,5.338,4.782000000000001,17.172,4.6,4.521,15.351000000000003,4.385,4.266,11.777999999999999
2018-06-27,9.171,7.317,17.492,6.388999999999999,5.269,4.717999999999999,17.107,4.535,4.455,15.282999999999998,4.319,4.201,11.712
2018-06-29,9.139,7.284000000000001,17.461000000000002,6.3555,5.237,4.6575,17.0735,4.468,4.39,15.251499999999998,4.254,4.1339999999999995,11.678500000000003
2018-06-30,9.074000000000002,7.218000000000001,17.398000000000003,6.2895,5.1715,4.593000000000001,17.0075,4.4030000000000005,4.324,15.1865,4.188999999999999,4.069000000000001,11.612499999999999
2018-07-01,9.0365,7.102500000000001,17.322,6.24,5.148999999999999,4.572500000000001,16.9355,4.418,4.366999999999999,15.121500000000003,4.322000000000001,4.226000000000001,11.563500000000001
2018-07-02,9.1015,7.0645,17.321999999999996,6.175,5.083499999999999,4.506,16.9355,4.403999999999999,4.366999999999999,15.121500000000003,4.322000000000001,4.226000000000001,11.614500000000001
2018-07-03,9.2325,7.144,17.447000000000003,6.188000000000001,5.0835,4.505999999999999,17.064500000000002,4.403999999999999,4.366999999999999,15.252,4.322000000000001,4.226000000000001,11.747
2018-07-04,9.232499999999998,7.143999999999998,17.447000000000003,6.188000000000001,5.083499999999999,4.506,17.064500000000002,4.403999999999999,4.366999999999999,15.251999999999995,4.322000000000001,4.226000000000001,11.747
2018-07-05,9.213,7.1275,17.410999999999998,6.1754999999999995,5.0735,4.497000000000001,17.028,4.395,4.358,15.219000000000003,4.314,4.217,11.721
2018-07-06,9.277,7.141499999999999,17.476000000000003,6.1754999999999995,5.0735,4.497000000000001,17.094,4.395,4.358,15.284000000000002,4.314,4.217,11.786999999999999
2018-07-07,9.342,7.208,17.538000000000004,6.24,5.1395,4.5625,17.159,4.460000000000001,4.421000000000001,15.35,4.379,4.285000000000001,11.850999999999999
2018-07-08,9.407500000000002,7.272500000000001,17.601,6.3050000000000015,5.205000000000001,4.628499999999999,17.223999999999997,4.525999999999999,4.486999999999999,15.415500000000003,4.443999999999999,4.35,11.916
2018-07-12,9.422,7.272500000000001,17.601,6.3050000000000015,5.205000000000001,4.628499999999999,17.223999999999997,4.525999999999999,4.486999999999999,15.415500000000003,4.443999999999999,4.35,11.968500000000002
2018-07-13,9.3195,7.141499999999999,17.601,6.1754999999999995,5.0735,4.583499999999999,17.223999999999997,4.521999999999999,4.486999999999999,15.415500000000003,4.443999999999999,4.35,11.968500000000002
2018-07-14,9.2545,7.075499999999998,17.538000000000004,6.11,5.007499999999999,4.5185,17.159,4.508999999999999,4.486999999999999,15.35,4.443999999999999,4.35,11.9035
2018-07-15,9.2015,7.010000000000001,17.538000000000004,6.0440000000000005,4.9415,4.504500000000001,17.159,4.508999999999999,4.486999999999999,15.35,4.443999999999999,4.35,11.9035
2018-07-16,9.1505,6.945,17.538000000000004,5.978,4.877000000000001,4.4395,17.159,4.358,4.33,15.35,4.358999999999999,4.369999999999999,11.9035
2018-07-18,9.282,7.075499999999998,17.665,6.11,5.007499999999999,4.5699999999999985,17.2895,4.486999999999999,4.460000000000001,15.479999999999999,4.488999999999999,4.499,12.034499999999998
2018-07-19,9.347,7.141499999999999,17.728,6.1754999999999995,5.0735,4.636,17.355,4.553,4.525999999999999,15.544999999999998,4.556000000000001,4.565,12.1
